paint_code,all_codes,name,german_name,family,finish,years,pts_only,hex
,,Casablanca Beige,Casablanca Beige,beige,solid,1978-1984,no,#C29257
L1X,5Q / L1X,Cashmere Beige Metallic,Kaschmir Beige Metallic,beige,metallic,2019-present,no,#D7D8C8
Y59,Y59,Desert Beige Metallic,wüstenbeigemetallic,beige,metallic,,no,#EADBAF
Z1U,Z1U,Diamond Beige Metallic,Diamantbeige Metallic,beige,metallic,,yes,#d5ccbd
M1W,M1W,Jarama Beige,jaramabeige,beige,solid,,no,#AD9A7B
2Y7,2Y7,Jarama Beige Metallic,Jaramabeige Metallic,beige,metallic,2003-2010,no,#B5A68E
M1T,M1T,Luxor Beige Metallic,luxorbeigemetallic,beige,metallic,,no,#7B694B
,,Pongee Beige Metallic,pongeebeigemetallic,beige,metallic,,no,#A49463
1Z5,1Z5,Prosecco Metallic,Prosecco Metallic,beige,metallic,2003-2007,no,#C4B99A
Y1R,Y1R,Sand Beige Metallic,Sandbeige Metallic,beige,metallic,,yes,#f3d9b2
527,527,Sand Grey,sandgrau,beige,solid,,no,#DEDEDD
Z1W,Z1W,Siam Beige Metallic,Siambeige Metallic,beige,metallic,,yes,#aaa49c
C9Z,C9Z / Z4,Basalt Black Metallic,Basaltschwarz Metallic,black,metallic,2012-present,no,#3f3d4a
LO41,041 / 1010 / 5701 / 6013 / 6213 / 6413 / 6609 / 700 / 719 / 741 / 747 / LO41,Black,Schwarz,black,solid,1983-1990,no,#000000
LM9Y,708 / 738 / 744 / 746 / LM9Y,Black Metallic,Schwarz Metallic,black,metallic,1982-1982,no,#100E0E
744,744 / 746,Black Metallic (744),Schwarz Perlcolor,black,metallic,,no,#1A1A1A
Y70,Y70,Black Pearl,schwarzeperle,black,pearl,,no,#0C0403
LY9B,LY9B,Brilliant Black,Brillantschwarz,black,solid,1991-1991,no,#0E0403
7C3,7C3,Carbon Black Metallic,Carbonschwarz Metallic,black,metallic,,yes,#323749
Z9X,Z9X,Cherry Black Metallic,Kirschschwarz Metallic,black,metallic,,yes,#060603
,,Chromite Black Metallic,Chromitschwarz Metallic,black,metallic,2024-present,no,#1C1C1C
Y74,Y74,Diamond Black Metallic,Diamantschwarz Metallic,black,metallic,,yes,#383a43
7GS,7GS,Grey Black,Grauschwarz,black,solid,,yes,#313743
Y8X,Y8X,Havana Black Metallic,Havanaschwarz Metallic,black,metallic,,yes,#3d3a3b
C9X,2T / C9X / W08,Jet Black Metallic,Jetschwarz Metallic,black,metallic,2005-present,no,#323137
Y9X,Y9X,Mamba Black Metallic,Mambaschwarz Metallic,black,metallic,,yes,#393b44
LM9V,LM9V,Mocha Black,Moccaschwarz,black,solid,1979-1982,no,#3F3E3A
LY9V,LY9V,Montego Black Metallic,Montegoschwarz Metallic,black,metallic,1983-1984,no,#1B1818
Z9Z,Z9Z,Panther Black Metallic,Pantherschwarz Metallic,black,metallic,,yes,#453d44
LY9Z,LY9Z,Panthero Metallic,Panthero Metallic,black,metallic,1990-1991,no,#373737
L03C,L03C,Rallye Black,rallyeschwarz,black,solid,,no,#080101
LY9Y,LY9Y,Satin Black Metallic,Satinschwarz Metallic,black,metallic,1987-1988,no,#363636
Z5Z,Z5Z,89 Atoll Blue Metallic,Atollblau Metallic,blue,metallic,,yes,#2888b5
LM5N,37U / 3C8 / LM5N / Z5Q,89 Cobalt Blue Metallic,Cobaltblau Metallic,blue,metallic,1991-1991,no,#154a97
X5E,X5E,89 Cosmos Blue Metallic,Kosmosblau Metallic,blue,metallic,,yes,#1e394a
X5R,X5R,89 Moonshine Blue Metallic,Mondscheinblau Metallic,blue,metallic,,yes,#3d4b5b
Z5E,Z5E,89 Mugello Blue Metallic,Mugelloblau Metallic,blue,metallic,,yes,#334779
Z7R,Z7R,89 Northern Lights Blue Metallic,Nordlichtblau Metallic,blue,metallic,,yes,#4c5158
V5X,V5X,89 Triton Blue Metallic,Tritonblau Metallic,blue,metallic,,yes,#526268
Z16,Z16,914 Olympic Blue,914 Olympblau,blue,solid,,yes,#48C7E8
3C8,3C8,944 Cobalt Blue Metallic,944cobaltbluemetallic,blue,metallic,,yes,#1f2956
354,354,Acid Blue,Acidblau,blue,solid,,no,#0E5DCE
509,509,Adria Blue Metallic,Adriablau,blue,metallic,,no,#8ba4c6
327,327 / L50E,Adriatic Blue,Adriablau,blue,solid,1971-1971,no,#154a97
6003,6003 / Y31,Aetna Blue,Ätnablau,blue,solid,1960-1961,no,#74A1AD
6608,6608,Aga Blue,Agablau,blue,solid,1965-1967,no,#2C415E
L96B,L96B,Alaska Blue Metallic,Alaskametallic,blue,metallic,,no,#13657D
325,325,Albert Blue,Albertblau,blue,solid,,no,#0D3872
J5L,D6 / J5L,Algarve Blue Metallic,Algarveblau Metallic,blue,metallic,2023-present,no,#16537E
L97B,L97B,Ancona Blue Metallic,Anconablau,blue,metallic,,no,#4573E5
M5R,M5R,Aqua Blue Metallic,Aquablau Metallic,blue,metallic,2008-2012,no,#093DB4
5707,5707,Aquamarine Blue,Aquamarinblau,blue,solid,1957-1959,no,#093379
305,305 / 5WB,Arrow Blue,Arrowblau,blue,solid,,no,#0265BD
X5F,X5F,Ascari Blue Metallic,Ascariblau Metallic,blue,metallic,,yes,#14529B
5ZA,5ZA,Azure Blue 356,Azurblau 356,blue,solid,2024-present,yes,#2e3a4c
LY5D,LY5D,Azurite Blue,Azuritblau,blue,solid,1987-1988,no,#113868
,,Azzuro Thetys Metallic,Azzuro Thetys Metallic,blue,metallic,2021-present,yes,#B1CEE3
99F,99F,Bahama Blue Metallic,Bahamablau Metallic,blue,metallic,1977-1978,no,#215AA8
SIE,5IE / 6212 / 6412 / SIE,Bali Blue,Baliblau,blue,solid,,yes,#1F3D87
2D494WBL,2D494WBL,Beryll-Metallic,beryllmetallic,blue,metallic,,no,#3BCAC8
M5E,4A / M5E,Biscay Blue Metallic,Biskayablau Metallic,blue,metallic,,no,#3F4F5B
324,324 / 334,Blue Metallic,Blau-met.,blue,metallic,,no,#2A66A3
3AS,3AR / 3AS,Blue Turquoise,Blautürkis,blue,solid,,no,#0088DF
V5Z,V5Z,Brilliant Turquoise Metallic,Brillanttürkis Metallic,blue,metallic,,yes,#1b4e5f
W60,W60,Club Blau,Club Blau,blue,solid,2021-present,yes,#0075E1
LY5B,LY5B,Copenhagen Blue,Kopenhagenblau,blue,solid,1983-1986,no,#161D29
320,320,Crystal Blue,Kristallblau,blue,solid,1970-1971,no,#009CB0
3C7,347 / 351 / 3C7,Dark Blue,Dunkelblau,blue,solid,,no,#153754
M5X,M5X,Dark Blue Metallic,Dunkelblau Metallic,blue,metallic,,yes,#2B3D49
Z5D,Z5D,Dark Night Blue Metallic,Dunkelnachtblau Metallic,blue,metallic,,yes,#31344a
Y96,Y96,Dark Sapphire Metallic,Dunkelsaphir Metallic,blue,metallic,,yes,#160E5D
A5G,A5G,Dark Sea Blue,Dunkelseeblau,blue,solid,,yes,#101537
Z24,Z24,Deep Blue Metallic,Tiefblau Metallic,blue,metallic,,no,#181A28
LM5U,697 / LM5U,Diamond Blue Metallic,Diamantblau Metallic,blue,metallic,1988-1988,no,#8F9095
LM5P,37B / LM5P,Dove Blue Metallic,Taubenblau Metallic,blue,metallic,1989-1990,no,#6E93C9
25K,25H / 25K,Dragonfly Turquoise Met.,Libelltürkis Metallic,blue,metallic,,no,#40B5AD
M5Q,M5Q,Eisblau (Ice Blue),Eisblau,blue,solid,,no,#68677E
3E5,3E5,Estoril Blue Metallic,Estorilblau Metallic,blue,metallic,,no,#4570A1
W41,5FK / W41,Fountain Blue Metallic,Fontänenblau Metallic,blue,metallic,,no,#bcc9d9
K5J,D0 / K5J,Frozen Blue Metallic,Frozenblau Metallic,blue,metallic,2023-present,no,#86C5F0
8610,8610 / 8686,Gemini Metallic (914),Geminimetallic,blue,metallic,,no,#5B7B9A
M5D,1A / M5D / W96,Gentian Blue Metallic,Enzianblau Metallic,blue,metallic,2017-present,no,#002B6C
32Z,32Z,Glacier Blue,Gletscherblau,blue,solid,,no,#95BBCB
LY5U,LY5U,Glacier Metallic,Gletscher Metallic,blue,metallic,1989-1991,no,#C5D9DD
326,326,Glaze Blue,Glasurblau,blue,solid,,no,#0090DF
6603,6603 / W91,Golf Blue,Golfblau,blue,solid,1965-1967,no,#334970
M5G,A7 / M5G,Graphite Blue Metallic,Graphitblau Metallic,blue,metallic,2017-2021,no,#607E96
X5N,X5N,Grey Blue Metallic,Graublau Metallic,blue,metallic,,yes,#545d65
328,328,Gulf Blue,Gulfblau,blue,solid,,no,#91BFDA
019,019 / 12S / 2GO,Gulf Orange,Gulforange,blue,solid,,no,#FF8C2F
LA5Y,LA5Y,Helios Blue Metallic,Heliosblau Metallic,blue,metallic,1980-1980,no,#1A3A5A
37X,37X / 38T,Horizon Blue Metallic,Horizontblau Metallic,blue,metallic,,no,#5C7B9D
Z23,Z23,Ice Blue Metallic,Eisblau Metallic,blue,metallic,,no,#7A9BB6
,,Ipanema Blue,Ipanemablau,blue,metallic,2021-present,yes,#16ADC8
3S2,3S2,Ipanema Blue Metallic,Ipanemablau Metallic,blue,metallic,,yes,#16ADC8
33P,33P / 39N / 39V,Iris Blue Metallic,Irisblau Perlcolor,blue,metallic,,no,#373d78
L50C,L50C,Laguna Blue,Lagunablau,blue,solid,,no,#5DCEF2
3A8,3A8 / 3A9,Lapis Blue Metallic,Lapisblau Metallic,blue,metallic,,no,#003DA5
LM5Z,30T / LM5Z,Light Blue Metallic,Hellblau Metallic,blue,metallic,1982-1982,no,#9CC0CC
3R7,3R7,Liquid Metal Chrome Blue,Flüssigmetall-Chromblau,blue,special,,no,#A3B4C7
,,Lugano Blue,Luganoblau,blue,solid,2025-present,no,#0060E8
W50,W50,Manaus Blue,Manausblau,blue,solid,,yes,#04285A
L96M,L96M,Marathon Blue Metallic,Marathonmetallic,blue,metallic,,no,#687C88
3A9,3A9,Marine Blue,Marinblau,blue,solid,2003-2007,no,#4C5167
35V,35V,Marine Blue Metallic,Marineblau-met.,blue,metallic,,no,#4C5167
LM5A,38B / 5MB / LM5A,Maritime Blue,Maritimblau,blue,solid,1991-1991,no,#354a9b
LY5A,LY5A,Mauritius Blue,Mauritiusblau,blue,solid,1981-1982,no,#122C4A
5703,5703 / Z54,Meissen Blue,Meißenblau,blue,solid,1957-1959,no,#8ba4b0
8410,8410 / 8484,Metallic Blue (914),Blaumetallic,blue,metallic,,no,#2C4F8A
336,336,Mexico Blue,Mexikoblau,blue,solid,1972-1973,yes,#00ACEC
M5C,J5 / M5C / M5W,Miami Blue,Miamiblau,blue,solid,2016-present,yes,#1BBFE8
37W,37W / 39C,Midnight Blue Metallic,Nachtblau Perlcolor,blue,metallic,,no,#0B1F3C
39C,39C / 37W,Midnight Blue Pearl,Nachtblau Pearl,blue,pearl,1991-2018,no,#191970
304,304,Minerva Blue Metallic,Minervablau,blue,metallic,,no,#2782CD
LA5D,LA5D,Monaco Blue,Monacoblau,blue,solid,1980-1981,no,#5D81B3
G5D,G5D / I5,Montego Blue Metallic,Montegoblau Metallic,blue,metallic,2023-present,no,#043A60
4OS,4OS,Moon Gem,Moon Gem,blue,solid,2024-present,yes,#D6CED9
C5M,C5M / C7,Moonlight Blue Metallic,Mondscheinblau Metallic,blue,metallic,2023-present,no,#272A47
5NY,5NY,Nashy Blue,Nashy Blue,blue,solid,2024-present,yes,#45719B
LY5Z,LY5Z,Nautic Metallic,Nautic Metallic,blue,metallic,1987-1988,no,#032342
,,Neptune Blue,Neptunblau,blue,solid,2024-present,no,#00599A
M5X,39C / M5X,Night Blue Metallic,Nachtblau Metallic,blue,metallic,2010-2019,no,#061F44
Z5M,Z5M,Nogaro Blue Metallic,Nogaroblau Metallic,blue,metallic,,yes,#2e4a9c
3AZ,3AY / 3AZ,Ocean Blue Metallic,Oceanblau Metallic,blue,metallic,,no,#29496d
L51P,L51P,Olympic Blue,Olympiablau,blue,solid,,no,#48C7E8
6203,6203 / Z77,Oslo Blue,Oslobalau,blue,solid,1962-1963,no,#037CBF
6803,6803,Ossi Blue,Ossiblau,blue,solid,1968-1969,no,#326BF3
31G,31G,Pacific Blue Metallic,Pazifikblau-met.,blue,metallic,,no,#375975
Q83,Q83,Palace Blue Metallic,Palastblau Metallic,blue,metallic,,yes,#2c3a5b
,,Pale Blue Metallic,Hellblau Metallic,blue,metallic,2024-present,no,#424e5a
,,Pantone 296C,Pantone 296C,blue,solid,2021-present,yes,#003B5C
321,321,Pastel Blue,Pastellblau,blue,solid,1970-1971,no,#2B71B3
376,376 / X5Z,Petrol Blue Metallic,Petrolblau-met.,blue,metallic,,no,#344A60
Z79,Z79,Polar Blue Metallic,Polarblau Metallic,blue,metallic,,no,#828896
33X,33X,Prussian Blue Metallic,Preußischblau-met.,blue,metallic,,no,#122A57
M5B,M0 / M5B,Pure Blue,Reines Blau,blue,solid,,no,#0257CD
3AG,39E / 3AG,Riviera Blue,rivierablue,blue,solid,1994-1998,yes,#2d8bc5
6012,6012,Royal Blue,Königsblau,blue,solid,1960-1961,no,#0B5E98
,,Royal Blue Metallic,Königsblau Metallic,blue,metallic,,no,#284059
,,San Marino Blue,San Marinoblau,blue,solid,2021-present,yes,#010392
W87,W87,San Marino Blue Metallic,San Marinoblau Metallic,blue,metallic,,yes,#010392
Z5K,Z5K,Santorin Blue Metallic,Santorinblau Metallic,blue,metallic,,yes,#1f3263
38W,38W,Sapphire Blue Metallic,Saphirblau Metallic,blue,metallic,1995-2005,no,#3a8fe6
LY5V,LY5V,Sapphire Metallic,Saphir Metallic,blue,metallic,1983-1986,no,#BEBEBE
