dealer_name,address,city,state,zip,phone,website
Audi Anchorage,6115 Old Seward Hwy,Anchorage,AK,99518,9072725522,https://www.audiofanchorage.com/
Audi Birmingham,1314 Grants Mill Way,Irondale,AL,35210,2059867100,https://al.audiofbirmingham.com/
Audi Huntsville,6972 Us Hwy. 72 W.,Huntsville,AL,35806,2567243499,https://www.audihuntsville.com/
Audi Mobile,1445 E I65 Service Rd S,Mobile,AL,36606,2514598994,https://www.audimobileal.com/
Audi Montgomery,241 Eastern Blvd,Montgomery,AL,36117,3342775700,https://www.audimontgomery.com/
Audi Little Rock,12601 W Markham St,Little Rock,AR,72211,5012212600,https://www.audilittlerock.com/
Audi Arrowhead,16900 N 88th Dr,Peoria,AZ,85382,6235614700,https://www.audiarrowhead.com/
Audi Chandler,7460 W Orchid Ln,Chandler,AZ,85226,4809410000,https://www.audichandler.com/
Audi Gilbert,3235 S Gilbert Rd,Gilbert,AZ,85297,4808998000,https://www.audigilbert.com/
Audi North Scottsdale,7150 E Princess Dr,Phoenix,AZ,85054,4805384000,https://www.audinorthscottsdale.com/
Audi Tucson,4646 E 22nd St,Tucson,AZ,85711,5207481000,https://www.auditucson.com/
Audi Bakersfield,6000 Wible Rd,Bakersfield,CA,93313,6616176200,https://www.audibakersfield.com/
Audi Beverly Hills,8850 Wilshire Blvd,Beverly Hills,CA,90211,4242815600,https://www.audiofbeverlyhills.com/
Audi Burlingame,1010 Cadillac Way,Burlingame,CA,94010,6503480111,https://www.audiburlingame.com/
Audi Calabasas,24650 Calabasas Rd.,Calabasas,CA,91302,8188771900,https://www.audicalabasas.com/
Audi Carlsbad,5425 Paseo Del Norte,Carlsbad,CA,92008,7604389490,https://www.audicarlsbad.com/
Audi Concord,1300 Concord Ave,Concord,CA,94520,9257712888,https://www.audiconcord.com/
Audi Downtown LA,1900 S Figueroa St,Los Angeles,CA,90007,2137457200,https://www.audidtla.com/
Audi Elk Grove,9776 W Stockton Blvd,Elk Grove,CA,95757,9164052660,https://www.audielkgrove.com/
Audi Escondido,1556 Auto Park Way,Escondido,CA,92029,7605206600,https://www.audiescondido.com/
Audi Fletcher Jones,1275 Bristol St,Costa Mesa,CA,92626,9497911500,https://www.audiofcostamesa.com/
Audi Fremont,43191 Boscell Rd,Fremont,CA,94538,5104033700,https://www.audioffremont.com/
Audi Livermore,3400 Las Positas Rd,Livermore,CA,94551,9254471100,https://www.livermoreaudi.com/
Audi Long Beach,2998 Cherry Ave,Signal Hill,CA,90755,5625973663,https://www.audioflongbeach.com/
Audi Marin,700 Francisco Blvd W,San Rafael,CA,94901,4154604100,https://www.audimarin.com/
Audi Mission Viejo,28451 Marguerite Pkwy,Mission Viejo,CA,92692,9492185050,https://www.audimv.com/
Audi Modesto,4151 Mchenry Ave,Modesto,CA,95356,2094586006,https://www.audimodesto.com/
Audi Monterey Peninsula,3 Heitzinger Plz,Seaside,CA,93955,8313920445,https://www.montereyaudi.com/
Audi Napa Valley,2855 Auto Mall Pkwy,Fairfield,CA,94533,7074398175,https://www.audinapavalley.com/
Audi North OC,1275 E Yorba Linda Blvd,Placentia,CA,92870,6573154400,https://www.audinorthoc.com/
Audi Oakland,7201 Oakport St,Oakland,CA,94621,5108937282,https://www.audioakland.com/
Audi Ontario,2272 E. Inland Empire Blvd.,Ontario,CA,91764,9092929700,https://www.audiontario.com/
Audi Oxnard,1600 Ventura Blvd,Oxnard,CA,93036,8052883800,https://www.audioxnard.com/
Audi Pacific,20460 Hawthorne Blvd,Torrance,CA,90503,4249552736,https://www.audipacific.com/
Audi Palo Alto,1730 Embarcadero Rd,Palo Alto,CA,94303,6508566300,https://www.audipaloalto.com/
Audi Pasadena,2965 E Colorado Blvd,Pasadena,CA,91107,6262292419,https://www.audipasadena.com/
Audi Rancho Mirage,71265 Highway 111,Rancho Mirage,CA,92270,7606742555,https://www.audiranchomirage.com/
Audi Riverside,3210 Adams-Auto Center Drive,Riverside,CA,92504,9516883344,https://www.audiriverside.com/
Audi Rocklin,4448 Granite Dr,Rocklin,CA,95677,9168361288,https://www.audirocklin.com/
Audi San Diego,9010 Miramar Rd,San Diego,CA,92126,8585788600,https://www.audisandiego.com/
Audi San Francisco,300 S Van Ness Ave,San Francisco,CA,94103,4152418100,https://www.audisanfrancisco.com/
Audi San Jose,3350 Stevens Creek Blvd,San Jose,CA,95117,4082445400,https://www.sanjoseaudi.com/
Audi Santa Barbara,402 S Hope Ave,Santa Barbara,CA,93105,8056822000,https://www.audisantabarbara.com/
Audi Santa Monica,1020 Santa Monica Blvd,Santa Monica,CA,90401,3103939922,https://www.audisantamonica.com/
Audi South Coast,1425 Auto Mall Dr,Santa Ana,CA,92705,7149737766,https://www.audisouthcoast.com/
Audi Temecula,40955 Temecula Center Dr,Temecula,CA,92591,9512008100,https://www.auditemecula.com/
Audi Valencia,23923 Creekside Rd,Valencia,CA,91355,6618881400,https://www.audivalencia.com/
Audi Van Nuys,5239 Van Nuys Blvd,Sherman Oaks,CA,91401,8189220500,https://www.audivannuys.com/
Audi West Covina,2016 E Garvey Ave S,West Covina,CA,91791,6268859850,https://www.audiwestcovina.com/
McKenna Audi,10850 Firestone Blvd,Norwalk,CA,90650,5628683233,https://www.mckennaaudica.com/
Niello Audi,2350 Auburn Blvd,Sacramento,CA,95821,9164802800,https://www.nielloaudi.com/
Rusnak/Westlake Audi,3832 E Thousand Oaks Blvd,Westlake Village,CA,91362,8189916340,https://www.audiwestlake.com/
Audi Colorado Springs,550 Automotive Dr,Colorado Springs,CO,80905,7195757830,https://www.audicoloradosprings.com/
Audi Denver,6060 South Broadway,Littleton,CO,80121,3037951100,https://www.audidenver.com/
Audi Flatirons,13321 W Midway Blvd,Broomfield,CO,80020,3032223321,https://www.audiflatirons.com/
Audi Fort Collins,3003 S College Ave,Fort Collins,CO,80525,9702263000,https://www.audifortcollins.com/
Audi Glenwood Springs,100 Riverine Rd,Glenwood Springs,CO,81601,9709455200,https://co.audiglenwoodsprings.com/
Audi Parker,18455 Ponderosa Dr,Parker,CO,80134,3037384877,https://www.audiparker.com
Prestige Imports,8125 W Colfax Ave,Lakewood,CO,80214,3032388101,https://www.prestigeaudi.com/
Audi Danbury,25 Sugar Hollow Rd,Danbury,CT,06810,2037445202,https://www.audidanbury.com/
Audi Fairfield,435 Commerce Dr,Fairfield,CT,06825,2033350666,https://www.audifairfield.com/
Audi Greenwich,181 W Putnam Ave,Greenwich,CT,06830,2036611800,https://www.audigreenwich.com/
Audi of Wallingford,800 S Colony Rd,Wallingford,CT,06492,2032949000,https://www.audiofwallingford.com/
Hoffman Audi,700 Connecticut Blvd,East Hartford,CT,06108,8609566861,https://www.hoffmanaudiofhartford.com/
Hoffman Audi of New London,490 Broad St,New London,CT,06320,8604475000,https://www.hoffmanaudiofnewlondon.com/
Valenti Audi,600 Straits Tpke,Watertown,CT,06795,8602748846,https://www.valentiaudi.com/
Audi Wilmington,1300 N Union St,Wilmington,DE,19806,3026612100,https://www.audiwilmingtonde.com/
Audi Clearwater,18940 Us Hwy 19 N.,Clearwater,FL,33764,7273241800,https://www.audiusa.com
Audi Coral Springs,5555 N State Road 7,Coral Springs,FL,33073,9545098960,https://www.audicoralsprings.com/
Audi Fort Lauderdale,1200 N Federal Hwy,Fort Lauderdale,FL,33304,9545454650,https://www.audifortlauderdale.com/
Audi Fort Myers,10050 Daniels Interstate Court,Fort Myers,FL,33913,2394549600,https://www.audiusa.com
Audi Gainesville,1920 N Main St,Gainesville,FL,32609,3522044000,https://www.audigainesville.com/
Audi Jacksonville,11401 Atlantic Blvd,Jacksonville,FL,32225,9043673700,https://www.audijacksonvillefl.com/
Audi Lakeland,1215 Griffin Rd,Lakeland,FL,33805,8632840880,https://www.audilakeland.com/
