dealer_name,address,city,state,zip,phone,website
Lithia Kia of Anchorage,4434 Old Seward Highway,Anchorage,AK,99503,(907) 762-5350,http://lithiakiaanchorage.com/
Buster Miles Kia,1401 South Quintard Avenue,Anniston,AL,36201,(256) 624-9600,http://bustermileskia.com/
Dean McCrary Kia,1739 East I65 Service Road South,Mobile,AL,36606,(251) 471-3326,http://deanmccrarykia.com/
Dothan Kia,2985 Ross Clark Circle,Dothan,AL,36301,(334) 673-8195,http://dothankia.net/
Enterprise Kia,1509 East Park Avenue,Enterprise,AL,36330,(334) 417-4444,http://enterprisekia.com/
Greenway Kia of Riverchase,2200 Highway 31 South,Pelham,AL,35124,(205) 987-6518,http://greenwaykiariverchase.com/
Julio Jones Kia,4301 Greensboro Avenue,Tuscaloosa,AL,35405,(205) 345-8040,http://juliojoneskia.com/
Kia of Auburn,1687 South College Street,Auburn,AL,36830,(334) 329-7451,http://kiaofauburn.com/
Kia of Daphne,29816 Frederick Blvd,Daphne,AL,36526,(251) 621-2277,http://kiadaphne.com/
Kia of Rainbow City,950 West Grand Avenue,Rainbow City,AL,35906,(256) 442-3232,http://kiaofrainbowcity.com/
Kia of The Shoals,4109 N Jackson Highway,Sheffield,AL,35660,(256) 248-7401,http://kiaoftheshoals.com/
Long-Lewis Kia of Decatur,3326 Highway 31 South,Decatur,AL,35603,(256) 938-1085,http://longlewiskiadecatur.com/
Serra Kia of Gardendale,630 Fieldstown Road,Gardendale,AL,35071,(205) 631-2277,http://serragardendalekia.com/
Serra Kia of Trussville,5009 Brookes Crossing Blvd.,Birmingham,AL,35235,(205) 314-8010,http://serratrussvillekia.com/
Sons Kia of Montgomery,222 Eastern Boulevard,Montgomery,AL,36117,(334) 271-4111,http://sonskiamontgomery.com/
University Kia,6519 University Drive Nw,Huntsville,AL,35806,(256) 217-1700,http://universitykia.com/
Cavenaugh Kia,3311 Stadium Blvd.,Jonesboro,AR,72404,(870) 802-4451,http://cavenaughkia.com/
Crain Kia,5830 Warden Road,Sherwood,AR,72120,(501) 542-5200,http://crainkia.com/
Crain Kia of Bentonville,2201 Se 28th Street,Bentonville,AR,72712,(479) 695-6500,http://crainkiaofbentonville.com/
Crain Kia of Conway,810 South Amity Road,Conway,AR,72032,(501) 470-7000,http://crainkiaofconway.com/
Crain Kia of Fayetteville,2277 West Foxglove Drive,Fayetteville,AR,72704,(479) 387-9000,http://crainkiaoffayetteville.com/
Crain Kia of Fort Smith,6700 Auto Park Drive,Fort Smith,AR,72908,(479) 424-1002,http://crainkiaftsmith.com/
Everett Kia,1941 Janet Street,Searcy,AR,72143,(870) 376-5700,http://everettkia.net/
Landers Kia,201 Colonel Glenn Plaza Loop,Little Rock,AR,72210,(501) 492-5800,http://landerskialittlerock.com/
Camelback Kia,1450 E. Camelback Road,Phoenix,AZ,85014,(602) 249-1133,http://camelbackkia.com/
Courtesy Kia,6222 E. Auto Park Drive,Mesa,AZ,85206,(480) 573-0930,http://courtesykia.com/
Earnhardt Peoria Kia,17431 N. 91st. Avenue,Peoria,AZ,85382,(623) 933-6900,http://earnhardtpeoriakia.com/
Ed Morse Kia,100 N. Highway 90,Sierra Vista,AZ,85635,(520) 226-9560,http://edmorsekiasierravista.com/
Horne Kia,1465 E. Motorplex Loop,Gilbert,AZ,85297,(480) 813-3300,http://hornekia.com/
Ken Garff Kia Avondale,10685 W. Papago Freeway,Avondale,AZ,85323,(623) 298-1200,http://kengarffkiaavondale.com/
Ken Garff Kia Bell Road,2121 E. Bell Road,Phoenix,AZ,85022,(602) 313-2300,http://kengarffkiabellroad.com/
Kia of North Tucson,775 W. Wetmore Road,Tucson,AZ,85705,(520) 408-6300,http://kiaofnorthtucson.com/
Kia of Yuma,2841 S. Pacific Avenue,Yuma,AZ,85365,(928) 344-5345,http://kiaofyuma.com/
Mark Kia,3333 N. 89th Street,Scottsdale,AZ,85251,(480) 425-5300,http://markkia.com/
Martin Swanty Kia,2610 East Andy Devine Avenue,Kingman,AZ,86401,(928) 718-1000,http://www.kingmankia.com/
Oxendale Kia,5160 N. Test Drive,Flagstaff,AZ,86004,(928) 773-1404,http://www.oxendalekia.com/
Prescott Valley Kia,5600 East Market Street,Prescott Valley,AZ,86314,(928) 759-5600,http://prescottvalleykia.com/
Royal Kia,4333 E. Speedway Blvd.,Tucson,AZ,85712,(520) 790-4132,http://royalkia.com/
Sands Kia,16820 W. Cactus Rd.,Surprise,AZ,85388,(623) 474-3344,http://sandskia.com/
Tempe Kia,8005 S. Autoplex Loop,Tempe,AZ,85284,(480) 598-2300,http://tempekia.com/
Aaron Kia,2550 Wardlow Rd.,Corona,CA,92882,(951) 674-9527,http://aaronkiaofcorona.com/
Allstar Kia,735 Showcase Drive North,San Bernardino,CA,92408,(909) 763-4740,http://allstarkiasanbernardino.com/
Ball Kia,1940 National City Blvd.,National City,CA,91950,(619) 474-6431,http://ballkia.com/
Capitol Kia,755 Capitol Expressway,San Jose,CA,95136,(408) 266-5900,http://www.capitolkia.com/
Car Pros Kia Glendale,400 South Brand Blvd.,Glendale,CA,91204,(818) 745-1400,http://glendalekia.com/
Car Pros Kia Moreno Valley,12840 Auto Mall Drive,Moreno Valley,CA,92555,(951) 497-4500,http://carproskiamorenovalley.com/
Chula Vista Kia,540 Auto Park Drive,Chula Vista,CA,91911,(619) 656-2700,http://www.chulavistakia.com/
Citrus Kia,3611 E. Tenandhaven Paseo,Ontario,CA,91761,(855) 451-7127,http://citruskia.net/
Concord Kia,2199 Meridian Park Blvd.,Concord,CA,94520,(925) 682-7100,http://concordkia.com/
Covina Kia,626 South Citrus Avenue,Covina,CA,91723,(626) 605-0503,http://covinakia.com/
Dch Kia of Temecula,26799 Ynez Road,Temecula,CA,92591,(951) 699-3331,http://dchkiaoftemecula.com/
Dublin Kia,4300 John Monego Court,Dublin,CA,94568,(925) 829-8600,http://www.dublinkia.com/
Elk Grove Kia,8480 Laguna Grove Drive,Elk Grove,CA,95757,(916) 753-1000,http://elkgrovekia.com/
Fiesta Kia,78550 Varner Road,Indio,CA,92203,(760) 507-0399,http://i10fiestakia.com/
First Kia,2081 First Street,Simi Valley,CA,93065,(805) 206-3012,http://1stkia.com/
Folsom Lake Kia,12751 Folsom Blvd.,Folsom,CA,95630,(916) 353-2121,http://folsomlakekia.com/
Future Kia,900 W. Shaw Avenue,Clovis,CA,93612,(559) 294-6300,http://cloviskia.com/
Garden Grove Kia,13731 Harbor Blvd.,Garden Grove,CA,92843,(714) 823-4949,http://ggkia.com/
Geweke Kia,1234 Sunsweet Blvd.,Yuba City,CA,95991,(530) 634-6161,http://gewekekia.com/
