dealer_name,address,city,state,zip,phone,website
"Varsity Lincoln, Inc.",49251 Grand River,Novi,MI,48374,(248) 305-5300,https://www.varsitylincoln.com
CMA's Colonial Lincoln,100 Myers Drive,Charlottesville,VA,22901,(434) 951-1000,https://www.colonialautolincoln.com
"Bob Wade Lincoln, Inc.",3005 South Main Street,Harrisonburg,VA,22801,(540) 434-3900,https://www.BobWadeLincoln.net
Sanderson Lincoln,2121 W Bell Road,Phoenix,AZ,85023,(602) 375-7500,https://www.sandersonlincoln.net
Bayway Lincoln,12333 Gulf Freeway,Houston,TX,77034,(281) 929-6500,https://www.baywaylincolnhouston.com
Corley's Albuquerque Lincoln,9000 Pan American Freeway NE,Albuquerque,NM,87113,(505) 260-2200,https://www.corleynewmexico.com
"Junge Lincoln, Inc.",1200 Boyson Road,Hiawatha,IA,52233,(319) 393-6500,
Heller Lincoln of Pontiac,720 S. Deerfield,Pontiac,IL,61764,(815) 842-1128,https://www.HellerLincoln.net
Lowe Lincoln,801 West Grand Avenue,Rainbow City,AL,35906,(256) 442-9090,https://www.LoweLincoln.com
Sesi Lincoln,3990 Jackson Road,Ann Arbor,MI,48103,(734) 668-6100,https://www.annarborlincoln.com
Pugmire Lincoln of Marietta,"1865 Cobb Parkway, S.E.",Marietta,GA,30060,(770) 952-2261,https://www.pugmire-lincoln.net
John Deery Motors Inc,6823 University Avenue,Cedar Falls,IA,50613,(319) 277-6200,
Dave Sinclair Lincoln,13980 Manchester Road,Ballwin,MO,63011,(314) 729-2700,https://www.davesinclairlincolnsouth.com
"Crest Lincoln, Inc.",36200 Van Dyke,Sterling Heights,MI,48312,(866) 353-2270,https://www.crestlincolnsterlingheights.com
"Bilton Lincoln, Inc.",70 W. Wesmark Blvd.,Sumter,SC,29150,(803) 773-7339,https://www.BiltonLincoln.com
Lincoln of Bloomington,7801 Dupont Ave S,Bloomington,MN,55420,(952) 888-2271,https://www.lincolnofbloomington.com
Forrester Lincoln,832 Lincoln Way East,Chambersburg,PA,17201,(717) 263-9525,https://www.forresterlincoln.com
Cooper Motors Lincoln,985 York St,Hanover,PA,17331,(717) 632-4225,https://www.coopermotorslincoln.com
Irwin Lincoln,4000 Route 9,Freehold,NJ,07728,(732) 462-1818,https://www.IrwinLincoln.net
Haldeman Lincoln,2443 Lehigh Street,Allentown,PA,18103,(610) 791-4900,https://www.haldemanlincolnallentown.com
Gordie Boucher Lincoln,3161 South 108th St,West Allis,WI,53227,(800) 670-4160,https://www.gordieboucherlincoln.net
Highland Park Lincoln,1333 Park Avenue West,Highland Park,IL,60035,(847) 433-7200,https://www.lincolnofhighlandpark.com
"Libertyville Lincoln Sales, Inc.",941 S Milwaukee Avenue,Libertyville,IL,60048,(847) 367-1700,https://www.libertyville-lincoln.com
Napleton Lincoln,1610 Waukegan Road,Glenview,IL,60025,(847) 416-2103,https://www.napletonlincolninglenview.com
Wallace Lincoln,5555 South US Highway 1,Fort Pierce,FL,34982,(772) 461-6060,https://www.wallacelincoln.com
Capital Lincoln Cary,525 Crossroads Blvd.,Cary,NC,27518,(919) 859-2000,https://www.capitallincolncary.com
"Cavenaugh Ford Lincoln, LLC",2000 East Highland Dr.,Jonesboro,AR,72401,(870) 972-8000,https://www.cavenaughlincoln.com
Woodhouse Lincoln,8652 S. 145th St.,Omaha,NE,68138,(402) 592-1044,https://www.woodhouselincoln.com
"Southgate Lincoln, LLC",16800 Fort Street,Southgate,MI,48195,(734) 285-8800,https://www.southgatelincoln.com
"South Hills Lincoln, Inc.",2760 Washington Road,Pittsburgh,PA,15241,(724) 941-1600,https://www.southhillslincolnofpittsburgh.com
Lincoln of Cincinnati,9620 Montgomery Road,Cincinnati,OH,45242,(513) 683-3800,https://www.montgomerylincolnofcincinnati.com
Nick Mayer Lincoln,24400 Center Ridge Road,Westlake,OH,44145,(440) 835-3700,https://www.nickmayerautogroup.com
"Jack Demmer Lincoln, Inc.",21531 Michigan Avenue,Dearborn,MI,48124,(313) 274-8800,https://www.JackDemmerLincoln.net
Bud Smail Lincoln,5038 Route 30,Greensburg,PA,15601,(724) 837-4210,https://www.smaillincoln.com
Biondi Motor Company Inc,3690 William Penn Highway,Monroeville,PA,15146,(412) 856-1200,https://www.biondilincoln.net
"Bob-Boyd Lincoln, Inc.",2445 Billingsley Rd.,Columbus,OH,43235,(614) 863-2800,https://www.LincolnofColumbus.com
Jack O Diamonds,2500 W Southwest Loop 323,Tyler,TX,75701,(903) 561-5225,https://www.jackodiamondslincoln.com
Zeigler Lincoln of Kalamazoo,4201 Stadium Drive,Kalamazoo,MI,49008,(269) 375-4500,https://www.zeiglerlincoln.com
"Bob Maxey Lincoln, Inc.",16901 Mack Avenue,Detroit,MI,48224,(313) 885-4000,https://www.BobMaxeyLincolnSales.com
"Star Lincoln,  Inc.",24350 W 12 Mile,Southfield,MI,48034,(248) 354-4900,https://www.starlincoln.com
Bill Knight Lincoln Volvo,4111 S. Memorial,Tulsa,OK,74145,(918) 526-2509,https://www.billknightlincoln.com
Dave Sinclair Lincoln St. Peters,4760 North Service Road,Saint Peters,MO,63376,(636) 441-4400,https://www.DaveSinclairLincolnStPeters.com
"Green Lincoln, Inc.",3760 South 6th Street,Springfield,IL,62703,(217) 391-2400,https://www.greenlincolnofspringfield.net
Landmark Lincoln,5000 S Broadway,Englewood,CO,80113,(303) 761-1560,https://www.landmarklincoln.com
Findlay Lincoln,310 N. Gibson Rd.,Henderson,NV,89014,(702) 982-4779,https://www.findlaylincolnofhenderson.com
"Napleton's River Oaks Lincoln, LLC",1777 River Oaks Drive,Calumet City,IL,60409,(708) 550-4050,https://www.NapletonsRiverOaksLincoln.com
"Driver's Village, Inc.",5885 East Circle Drive,Cicero,NY,13039,(315) 699-6300,https://www.RogerBurdickLincoln.com
Hempstead Lincoln,301 North Franklin Street,Hempstead,NY,11550,(516) 483-7200,https://www.HempsteadLincoln.net
Maplecrest Lincoln,2800 Springfield Avenue,Vauxhall,NJ,07088,(908) 964-7700,https://www.maplecrestlincoln.com
Lincoln of Wayne,1910 Route 23,Wayne,NJ,07470,(973) 696-9700,https://www.lincolnofwayne.com
Dana Lincoln,266 West Service Road,Staten Island,NY,10314,(718) 983-8700,https://www.danalincoln.com
"Cortese Ford Lincoln, Inc.",2452 West Henrietta Road,Rochester,NY,14623,(800) 501-6470,https://www.corteselincolnofrochester.com
Hassett Lincoln,3530 Sunrise Hwy,Wantagh,NY,11793,(516) 785-7800,https://www.hassettlincoln.com
Camelback Lincoln,1330 E. Camelback Road,Phoenix,AZ,85014,(602) 464-7239,https://www.camelback-lincoln.com
Bergey's Lincoln,1201 North Broad Street,Lansdale,PA,19446,(215) 368-4300,https://www.bergeyslincoln.com
Doral Lincoln,9000 N.W. 12th Street,Doral,FL,33172,(786) 522-5351,https://www.dorallincoln.com
LaFontaine Lincoln,2219 W. Hill Road,Flint,MI,48507,(810) 659-5687,https://www.lafontainelincoln.net
Lincoln of Troy,1950 West Maple Rd.,Troy,MI,48084,(248) 643-6600,https://www.lincolnoftroy.com
Courtesy Lincoln,4010 Ambassador Caffery Parkway,Lafayette,LA,70503,(337) 984-5100,https://www.courtesylincolnoflafayette.com
Ogden Lincoln of Westmont,100 West Ogden Avenue,Westmont,IL,60559,(630) 968-5600,https://www.ogdenlincolnofwestmont.com
Lincoln South Coast,1405 Auto Mall Drive,Santa Ana,CA,92705,(844) 728-8789,https://www.lincolnsouthcoast.net
Schumacher Lincoln of Delray,2102 South Federal Highway,Delray Beach,FL,33483,(561) 454-1800,https://www.Schumacherlincolnofdelray.com
Lincoln of New Bern,3405 Dr. Martin Luther King Jr Blvd,New Bern,NC,28562,(252) 638-6161,https://www.lincolnofnewbern.com
Lincoln of Cutler Bay,11020 SW 186 Street,Miami,FL,33157,(786) 230-8105,https://www.lincolnofcutlerbay.net
Lincoln White Plains,250 E. Main Street,Elmsford,NY,10523,(914) 689-8111,https://www.lincolnmountkisco.com
