dealer_name,address,city,state,zip,phone,website
CONTINENTAL MAZDA,4800 Old Seward Hwy,Anchorage,AK,99503,9075622722,http://www.continental-mazda.com/
DEAN MCCRARY MAZDA,1739 E. I-65 Service Rd S,Mobile,AL,36606,2514713326,http://www.deanmccrarymazda.com
HILEY MAZDA OF HUNTSVILLE,6934 Highway 72,Huntsville,AL,35806,2568811881,http://www.hileymazdahuntsville.com
MED CENTER MAZDA,80 Drivers Way,Pelham,AL,35124,2052260929,http://www.medcentermazda.com
TUSCALOOSA MAZDA,3100 Skyland Blvd E,Tuscaloosa,AL,35405,2055071000,http://www.tuscaloosamazda.com/
COGSWELL MAZDA,1900 East Main,Russellville,AR,72801,4799682665,http://www.cogswellmazda.com
MCLARTY MAZDA,6030 Landers Road,North Little Rock,AR,72117,5019455353,http://www.mclartymazda.com/
SUPERIOR MAZDA,2600 Se Moberly Lane,Bentonville,AR,72712,4798450083,http://www.superiormazda.com
BERGE MAZDA,385 West Baseline Road,Gilbert,AZ,85233,4808330001,http://www.bergemazda.com
BILLALEXANDER FLIGHTLINE MAZDA,1350 East 32Nd Street,Yuma,AZ,85365,9283143400,http://www.flightlinemazda.com/
CARDINALEWAY MAZDA,6343 E Test Drive,Mesa,AZ,85206,4803554444,http://www.cardinalewaymazdamesa.com/
CARDINALEWAY MAZDA AT PEORIA,8424 W. Bell Road,Peoria,AZ,85382,6239333900,http://cardinalewaymazdapeoria.com
CHAPMAN MAZDA,999 W Bell Rd,Phoenix,AZ,85023,6023446940,http://www.chapmanmazda.com
GALPIN MAZDA,1000 Sandretto Drive,Prescott,AZ,86305,9284453673,http://www.galpinmazdaofprescott.com/
HORNE MAZDA,7777 South Test Drive,Tempe,AZ,85284,4808969929,http://www.hornemazda.com/
HORNE MAZDA AVONDALE,10675 W Papago Freeway,Avondale,AZ,85323,6233232995,http://www.hornemazdaavondale.com/
JIM CLICK MAZDA EASTSIDE,1301 S Wilmot Rd,Tucson,AZ,85711,5206905002,http://www.jimclickmazdaeast.com/
MARK MAZDA,3875 N. 89Th Street,Scottsdale,AZ,85251,4807484400,http://www.markmazdascottsdale.com
AUTONATION MAZDA CARLSBAD,5365 Car Country Drive,Carlsbad,CA,92008,7606200950,http://www.autonationmazdacarlsbad.com/
BAKERSFIELD MAZDA,3201 Bashirtash Dr,Bakersfield,CA,93313,6613288000,http://bakersfieldmazda.com/
BROWNING MAZDA CERRITOS,18827 Studebaker Road,Cerritos,CA,90703,5629241414,http://www.browningmazda.com
CAPISTRANO MAZDA,32852 Valle Road,San Juan Capistrano,CA,92675,9492182445,http://www.capomazda.com/
CAPITOL MAZDA,980 Capitol Expressway,San Jose,CA,95136,4087238800,http://www.capitolmazdasj.com/
CARDINALE MAZDA,555 Auto Center Circle,Salinas,CA,93907,8317725510,http://www.cardinalemazda.com/
CARDINALEWAY MAZDA CORONA,2595 Wardlow Road,Corona,CA,92882,9513930710,http://www.cardinalewaymazdacorona.com/
CARUSO MAZDA OF LONG BEACH,3600 Cherry Ave,Long Beach,CA,90807,5624265110,http://www.carusomazda.com
CHICO MAZDA,928 Main Street,Chico,CA,95928,5305719109,http://www.chicomazda.com/
CONCORD MAZDA,1001 Burnett Avenue,Concord,CA,94520,9253263000,http://www.ConcordMazda.com
CULVER CITY MAZDA,11215 Washington Blvd,Culver City,CA,90230,3103910445,http://www.culvercitymazda.com/
DIAMOND MAZDA,1015 Auto Mall Dr,Lancaster,CA,93534,6619457590,http://www.diamondmazdaav.com/
DUBLIN MAZDA,6363 Scarlett Court,Dublin,CA,94568,9253649000,
