dealer_name,address,city,state,zip,phone,website
MINI of Anchorage,730 E. 5th Avenue,Anchorage,AK,99501,9077437100,https://www.minianchorage.com
MINI North Scottsdale,7101 E Chauncey Ln,Phoenix,AZ,85054,8777054108,https://www.mininorthscottsdale.com
MINI of Tempe,7855 South Test Drive,Tempe,AZ,85284,4804214700,https://www.minioftempe.com
Bob Smith MINI,24500 Calabasas Road,Calabasas,CA,91302,8184441650,https://www.bobsmithmini.com
Crevier MINI,1455 Auto Mall Drive,Santa Ana,CA,92705,7145609525,https://www.creviermini.com
MINI of Berkeley,735 Ashby Avenue,Berkeley,CA,94710,8555715269,https://www.miniofberkeley.com
MINI of Downtown Los Angeles,6201 S Alameda Street,Los Angeles,CA,90001,3232774240,https://www.minidtla.com
MINI of Escondido,1557 Auto Park Way,Escondido,CA,92029,7607453000,https://www.miniofescondido.com
MINI of Marin,5880 Paradise Drive,Corte Madera,CA,94925,4157370500,https://www.miniofmarin.com
MINI of Monrovia,1451 South Mountain Avenue,Monrovia,CA,91016,8772780090,https://www.miniofmonrovia.com
MINI of Ontario,1251 Auto Center Drive,Ontario,CA,91761,8889645970,https://www.MINIofOntario.com
MINI of San Diego,4812 Kearny Mesa Road,San Diego,CA,92111,8586166464,https://www.miniofsandiego.com
MINI of San Francisco,1675 Howard Street,San Francisco,CA,94103,6282351200,
MINI of Stevens Creek,4201 Stevens Creek Blvd.,Santa Clara,CA,95051,4086414608,https://www.miniofstevenscreek.com
MINI of Universal City,4338 Lankershim Boulevard,North Hollywood,CA,91602,8185057455,https://www.miniuniversalcity.com
Niello MINI,2020 Fulton Ave,Sacramento,CA,95825,9164836464,https://www.niellomini.com
South Bay MINI,18900 Hawthorne Boulevard,Torrance,CA,90504,4242752196,https://www.southbaymini.com
MINI of Loveland,4055 Byrd Drive,Loveland,CO,80538,9702925020,https://www.miniofloveland.com
Schomp MINI,1001 Plum Valley Lane,Highlands Ranch,CO,80129,8773319182,https://www.ralphschompmini.com
MINI of Darien,154 Post Rd.,Darien,CT,06820,2033484700,https://www.minifairfieldcounty.com
New Country MINI,236 Reverend Moody Overpass,Hartford,CT,06120,8602787777,https://www.newcountrymini.com
Braman MINI of Miami,2060 Biscayne Blvd,Miami,FL,33137,7863880124,https://www.bramanminiofmiami.com
Braman MINI of Palm Beach,2901 Okeechobee Blvd,West Palm Beach,FL,33409,5616664791,https://www.bramanmini.com
Ferman MINI of Tampa Bay,31320 US Highway 19 N,Palm Harbor,FL,34684,7277853900,https://www.minioftampabay.com
Lauderdale MINI Authorized Service,1441 S Federal Highway,Fort Lauderdale,FL,33316,9543356464,https://www.lauderdalemini.com
MINI of Coconut Creek,4401 W Sample Rd,Coconut Creek,FL,33073,8772132629,https://www.miniofcoconutcreek.com
MINI of Fort Myers,13880 S Tamiami Trail,Fort Myers,FL,33912,8007989237,https://www.miniofftmyers.com
MINI of Pensacola,186A W Airport Blvd,Pensacola,FL,32505,8504976464,https://www.miniofpensacola.com
MINI of South Miami,16165 S Dixie Hwy,Miami,FL,33157,8558800590,https://www.miniofsouthmiami.com
MINI of Wesley Chapel,26645 State Road 56,Wesley Chapel,FL,33544,8139073600,https://www.miniofwesleychapel.com
Orlando MINI,350 S Lake Destiny Rd,Orlando,FL,32810,4078352727,https://www.iwantamini.com
Tom Bush MINI,9881 Atlantic Blvd,Jacksonville,FL,32225,8775570033,https://www.tombushmini.com
Global Imports MINI,5925 Peachtree Industrial Blvd,Chamblee,GA,30341,6785697550,https://www.atlantamini.com
Mall of Georgia MINI,3751 Buford Dr.,Buford,GA,30519,4702384040,https://www.mallofgamini.com
MINI of Hawaii,"367 Farrington Highway, Unit 5A",Kapolei,HI,96707,8085971225,https://www.miniofhawaii.com
MINI of Des Moines,9900 Hickman Road,Des Moines,IA,50325,8007247365,https://www.miniofdesmoines.com
Bill Jacobs MINI,2491 Aurora Avenue,Naperville,IL,60540,8665168050,https://www.billjacobsmini.com
MINI of Glencoe North Shore,2100 Frontage Road,Glencoe,IL,60022,8479985200,
Patrick MINI,690 E Golf Rd,Schaumburg,IL,60173,8478434000,https://www.patrickmini.com
Dreyer & Reinbold MINI,9333 Haver Way,Indianapolis,IN,46240,8008752269,https://www.dreyerreinboldmini.com
MINI of Fort Wayne,715 Grand National Drive,Fort Wayne,IN,46804,2604344707,https://www.minifortwayne.com
MINI of Shawnee Mission,9000 Shawnee Mission Pkwy,Merriam,KS,66202,8886505901,https://www.baronmini.com
MINI of Wichita,10950 East 13th Street North,Wichita,KS,67206,3167198300,https://www.miniofwichita.com
MINI of Boston,1168 Commonwealth Ave,Boston,MA,02134,8772834516,
MINI of Peabody,209 Andover St,Peabody,MA,01960,9785360088,https://www.minipeabody.com
MINI of Rockland,1040 Hingham Street,Rockland,MA,02370,7813475927,https://www.miniofrockland.com/
MINI of Annapolis,21 Old Mill Bottom Rd,Annapolis,MD,21409,8665858975,https://www.myminiannapolis.com
MINI of Montgomery County,820 Russell Avenue,Gaithersburg,MD,20879,2402381200,https://www.miniofmontgomerycounty.com
MINI of Towson,720 Kenilworth Drive,Towson,MD,21204,8664163545,https://www.minioftowson.com/
MINI of Grand Rapids,1010 28th St SE,Grand Rapids,MI,49508,6164525101,https://www.miniofgrandrapids.com
Motor City MINI,29929 Telegraph Rd,Southfield,MI,48034,2482044600,https://www.motorcitymini.com
Motorwerks MINI,705 Louisiana Avenue South,Golden Valley,MN,55426,8888665870,https://www.motorwerksmini.com
MINI of St. Louis,40 Sunnen Dr.,St. Louis,MO,63143,3146446464,https://www.miniofstlouis.com
Flow MINI,2575 Peters Creek Pkwy,Winston Salem,NC,27127,8772707089,https://www.flowminiwinston.com
Flow MINI of Raleigh,5600 Capital Blvd,Raleigh,NC,27616,9198764580,https://www.flowminiraleigh.com
Hendrick MINI,7036 E Independence Boulevard,Charlotte,NC,28227,8666320860,https://www.hendrickmini.com
MINI of Omaha,14800 Branch Street,Omaha,NE,68154,8772129351,https://www.miniofomaha.com
MINI of Bedford,209 S. River Rd.,Bedford,NH,03110,6036372900,https://www.minibedford.com
MINI of Edison,300 U.S. 1,Edison,NJ,08817,7323935464,https://www.miniofedison.com
MINI of Morristown,198 Madison Ave,Morristown,NJ,07960,9734510009,https://www.morristownmini.com
MINI of Mt. Laurel,1220 Route 73,Mount Laurel,NJ,08054,8567783000,https://www.miniofmtlaurel.com
MINI of Ramsey,925 Rt 17 S,Ramsey,NJ,07446,2016693370,https://www.miniramsey.com/
Sandia MINI,6001 Pan American West Fwy NE,Albuquerque,NM,87109,8669245263,https://www.sandiamini.com
MINI of Las Vegas,5750 West Sahara Ave,Las Vegas,NV,89146,7025701009,https://www.desertminioflasvegas.com
MINI of Reno,11505 South Virginia Street,Reno,NV,89511,7758516464,https://www.miniofreno.com
Habberstad MINI,950 Jericho Tpke,Huntington Station,NY,11746,8006910040,https://www.habberstadmini.com
MINI of Buffalo,8215 Main Street,Williamsville,NY,14221,7165046464,https://www.miniofbuffalo.com/
MINI of Freeport,280 W Sunrise Hwy,Freeport,NY,11520,5163786300,https://www.MINIofFreeport.com
MINI of Latham,1111 Troy Schenectady Road,Latham,NY,12110,5186407884,https://www.keelermini.com/
MINI of Manhattan Executive Sales,555 W 57th St,New York,NY,10019,2125862269,https://www.mininyc.com
MINI of Rochester,3875 W Henrietta Rd,Rochester,NY,14623,5853349440,https://www.miniofrochester.com/
MINI of Westchester,543 Tarrytown Road,White Plains,NY,10607,9147616666,https://www.miniofwestchester.com
Cincinnati MINI,6131 Stewart Ave,Cincinnati,OH,45227,8772139751,https://www.cincinnatimini.com
Classic MINI,2571 SOM Center Road,Willoughby Hills,OH,44094,8776872707,https://www.driveclassicmini.com
MINI of Dublin,5825 Venture Drive,Dublin,OH,43017,8774931060,
Jackie Cooper MINI,14145 Broadway Ext,Edmond,OK,73013,8663329140,https://www.jackiecoopermini.com
MINI of Portland,9134 Southwest Canyon Road,Portland,OR,97225,8887469315,https://www.miniportland.com
MINI of Allentown,4600 Crackersport Rd.,Allentown,PA,18104,6108212500,
MINI of Pittsburgh,4900 Baum Blvd.,Pittsburgh,PA,15213,4126820788,https://www.miniofpittsburgh.com
MINI of West Chester,1275 Wilmington Pike,West Chester,PA,19382,6104552800,https://www.miniwc.com/
MINI of the Main Line,130 Montgomery Ave,Bala Cynwyd,PA,19004,6106671000,https://www.minimainline.com
MINI of Warwick,1515A Bald Hill Rd,Warwick,RI,02886,8773613416,https://www.warwickmini.com
