dealer_name,address,city,state,zip,phone,website
Continental Subaru,4900 Old Seward Hwy,Anchorage,AK,99503,(907) 562-2722,https://www.continental-subaru.com/
Juneau Subaru,8725 Mallard St,Juneau,AK,99801,(907) 789-1386,https://juneausubaru.com/
Kendall Subaru of Fairbanks,1001 Cadillac Ct,Fairbanks,AK,99701,(907) 456-6217,https://subarufairbanks.com/
Hallmark Subaru,1837 Grants Mill Road,Birmingham,AL,35210,(205) 324-3371,https://www.hallmarksubarubirmingham.com/
Hendrick Subaru,2929 John Hawkins Pkwy,Hoover,AL,35244,(205) 733-7900,https://www.hendricksubaruhoover.com/
Landers McLarty Subaru,5790 University Dr,Huntsville,AL,35816,(256) 382-2425,https://www.landersmclartysubaru.net/
Montgomery Subaru,3000 Eastern Blvd,Montgomery,AL,36116,(334) 260-2064,https://montgomerysubaru.com/
Tameron Subaru,1431 E I-65 Service Rd S,Mobile,AL,36606,(251) 300-5081,https://tameronsubaru.com/
Adventure Subaru,2269 N Henbest Dr,Fayetteville,AR,72704,(479) 251-2175,https://www.adventuresubaru.com/
Subaru of Little Rock,12121 Colonel Glenn Rd,Little Rock,AR,72210,(501) 503-5454,https://www.subaruoflittlerock.com/
AutoNation Subaru Scottsdale,15678 N. Northsight Blvd,Scottsdale,AZ,85260,(480) 425-2800,https://www.autonationsubaruscottsdale.com/
Camelback Subaru,1521 E Camelback Rd,Phoenix,AZ,85014,(602) 277-7171,https://www.camelbacksubaru.com/
Findlay Subaru Prescott,3230 Willow Creek Rd.,Prescott,AZ,86305,(928) 771-6900,https://www.findlaysubaruprescott.com/
Flagstaff Subaru,4910 E Market Place Dr,Flagstaff,AZ,86004,(928) 522-6386,https://www.flagstaffsubaru.com/
Peoria Subaru,8590 W Bell Rd,Peoria,AZ,85382,(623) 972-2300,https://www.peoriasubaru.com/
Seventy-Seven Subaru,1251 N. Automall Parkway,Show Low,AZ,85901,(928) 421-1616,https://www.77subaru.com/
Subaru Superstore of Chandler,1050 S Gilbert Rd,Chandler,AZ,85286,(480) 222-6000,https://subarusuperstore.com/
Subaru Superstore of Surprise,13090 N Autoshow Ave,Surprise,AZ,85388,(623) 544-4000,https://subarusuperstorewest.com/
Tucson Subaru,4901 N. Oracle Rd.,Tucson,AZ,85704,(520) 721-2400,https://www.tucsonsubaru.com/
Albany Subaru,718 San Pablo Avenue,Albany,CA,94706,(510) 528-1244,https://albanysubaru.com/
AutoNation Subaru Carlsbad,5500 Paseo Del Norte,Carlsbad,CA,92008,(760) 438-2200,https://www.autonationsubarucarlsbad.com/
AutoNation Subaru Roseville,250 Automall Drive,Roseville,CA,95661,(916) 724-2700,https://www.autonationsubaruroseville.com/
Capitol Subaru,920 Capitol Expressway Auto Mall,San Jose,CA,95136,(408) 723-9500,https://capitolsubarusj.com/
Cypress Coast Subaru,2 Geary Plaza,Seaside,CA,93955,(831) 394-8500,https://www.cypresscoastsubaru.com/
DCH Subaru of Riverside,8043 Indiana Ave,Riverside,CA,92504,(951) 643-6500,https://www.dchsubaruofriverside.com/
DCH Subaru of Thousand Oaks,3725 Auto Mall Dr.,Thousand Oaks,CA,91362,(805) 495-2193,https://www.dchsubaruthousandoaks.com/
Dalton Subaru National City,2829 National City Blvd.,National City,CA,91950,(619) 470-5600,https://www.subarudalton.com/
Diablo Subaru of Walnut Creek,2646 N Main St,Walnut Creek,CA,94597,(925) 937-6900,https://www.diablosubaru.com/
Downtown Subaru,4133 Broadway,Oakland,CA,94611,(510) 547-4424,https://www.subaruofoakland.com/
Elk Grove Subaru,8581 Laguna Grove Dr.,Elk Grove,CA,95757,(916) 509-8500,https://www.elkgrovesubaru.com/
Fairfield Subaru,2525 Martin Road,Fairfield,CA,94534,(707) 639-9073,https://www.fairfieldsubaru.com/
Frank's Irvine Subaru,23663 Rockfield Blvd,Lake Forest,CA,92630,(949) 837-3500,https://www.irvinesubaru.com/
Gold Rush Subaru,670 Grass Valley Hwy,Auburn,CA,95603,(530) 885-4019,https://www.goldrushsubaru.com/
Hanlees Subaru,495 Soscol Ave,Napa,CA,94559,(707) 253-9100,https://hanleesnapasubaru.com/
Hansel Subaru,2987 Corby Ave,Santa Rosa,CA,95407,(707) 578-4530,https://www.hanselsubaru.com/
Hello Subaru of Temecula,42050 DLR Drive Suite 100,Temecula,CA,92591,(951) 553-2000,https://hellosubarutemecula.com/
Jerry Seiner Subaru,24000 Creekside Rd,Valencia,CA,91355,(661) 670-5550,https://jerryseinersubaru.com/
Kearny Mesa Subaru,4797 Convoy St,San Diego,CA,92111,(858) 278-7100,https://kearnymesasubaru.com/
Ken Fowler Subaru,1265 Airport Park Blvd,Ukiah,CA,95482,(707) 468-0101,https://www.fowlersubaru.com/
Kirby Subaru of Ventura,6500 Auto Center Dr,Ventura,CA,93003,(805) 643-9259,https://www.kirbysubaruofventura.com/
Lithia Subaru of Fresno,5212 N Blackstone Ave,Fresno,CA,93710,(559) 438-6200,https://www.lithiasubarufresno.com/
Livermore Subaru,4236 Las Positas Road,Livermore,CA,94551,(925) 447-1102,https://www.livermoresubaru.com/
Maita Subaru,2912 Auburn Blvd,Sacramento,CA,95821,(916) 486-8500,https://www.maitasubaru.com/
Marin Subaru,595 Francisco Blvd E,San Rafael,CA,94901,(415) 450-6672,https://www.marinsubaru.com/
McCrea Subaru,1406 5th St,Eureka,CA,95501,(707) 442-1741,https://www.mccreasubaru.com/
Modesto Subaru,4360 McHenry Avenue,Modesto,CA,95356,(209) 846-8500,https://www.modestosubaru.com/
Ocean Subaru of Fullerton,1100 S. Euclid St,Fullerton,CA,92832,(714) 871-9300,https://oceansubaruoc.com/
Palm Springs Subaru,67925 E Palm Canyon Dr,Cathedral City,CA,92234,(760) 318-4700,https://www.palmspringssubaru.com/
Premier Subaru of Fremont,5601 Cushing Parkway,Fremont,CA,94538,(510) 319-5500,https://premiersubaruoffremont.com/
Puente Hills Subaru,17801 E Gale Ave,City of Industry,CA,91748,(626) 626-4800,https://www.puentehillssubaru.com/
Putnam Subaru,85 California Dr,Burlingame,CA,94010,(650) 558-5610,https://www.putnamsubaruofburlingame.com/
Redding Subaru,481 E. Cypress Ave,Redding,CA,96002,(530) 221-2436,https://www.reddingsubaru.com/
Sangera Subaru,5500 Gasoline Alley Dr,Bakersfield,CA,93313,(661) 836-3737,https://www.sangerasubaru.com/
Santa Cruz Subaru,4100 Auto Plaza Dr,Capitola,CA,95010,(831) 420-1500,https://santacruzsubaru.com/
Santa Monica Subaru,1229 Santa Monica Blvd.,Santa Monica,CA,90404,(310) 752-0777,https://www.santamonicasubaru.com/
Serramonte Subaru,707 Serramonte Blvd,Colma,CA,94014,(650) 550-3700,https://www.serramontesubaru.com/
Shingle Springs Subaru,4045 Wild Chaparral Dr,Shingle Springs,CA,95682,(530) 677-8771,https://www.shinglespringssubaru.com/
Sierra Subaru of Monrovia,735 E. Central Ave,Monrovia,CA,91016,(626) 879-2902,https://sierrasubaru.com/
Spreen Subaru,645 Auto Center Dr.,San Bernardino,CA,92408,(909) 277-2700,https://spreensubaru.com/
Stevens Creek Subaru,3225 Stevens Creek Blvd,Santa Clara,CA,95117,(408) 984-2001,https://www.stevenscreeksubaru.com/
Subaru Orange Coast,1350 Auto Mall Drive,Santa Ana,CA,92705,(657) 231-5400,https://subaruorangecoast.com/
Subaru Pacific,14700 Hindry Ave,Hawthorne,CA,90250,(424) 577-3128,https://www.subarupacific.com/
Subaru Sherman Oaks,5747 Van Nuys Blvd,Van Nuys,CA,91401,(818) 670-7450,https://www.subarushermanoaks.com/
Subaru of Chico,13340 Garner Lane,Chico,CA,95973,(530) 345-9444,https://subaruofchico.com/
Subaru of Downtown Los Angeles,2000 S. Figueroa Street,Los Angeles,CA,90007,(213) 419-6376,https://dtlasubaru.com/
Subaru of Glendale,1308 S Brand Blvd,Glendale,CA,91204,(818) 396-3900,https://subaruofglendale.net/
Subaru of Hayward,25000 Mission Blvd,Hayward,CA,94544,(510) 826-0000,https://www.subaruofhayward.com/
Subaru of Ontario,1195 Auto Center Drive,Ontario,CA,91761,(909) 605-5655,https://www.subaruofontario.com/
Subaru of San Luis Obispo,1404 Auto Park Way,San Luis Obispo,CA,93405,(805) 543-4745,https://www.subaruofsanluisobispo.com/
Subaru of Sonora,13411 Mono Way,Sonora,CA,95370,(209) 532-5926,https://subaruofsonora.com/
Summit Subaru El Cajon,900 Arnele Avenue,El Cajon,CA,92020,(619) 440-0404,https://summitsubaru.com/
Sutherlin Subaru Huntington Beach,18801 Beach Blvd.,Huntington Beach,CA,92648,(714) 842-2000,https://www.sutherlinsubaruhb.com/
Timmons Subaru,3700 Cherry Ave.,Long Beach,CA,90807,(562) 980-0707,https://www.timmonssubaru.com/
Trust Antelope Valley Subaru,43226 Drivers Way,Lancaster,CA,93534,(661) 949-1535,https://www.trustsubaru.com/
AutoNation Subaru Arapahoe,9955 E Arapahoe Rd,Centennial,CO,80112,(303) 578-6119,https://www.autonationsubaruarapahoe.com/
AutoNation Subaru West,16351 W  Colfax,Golden,CO,80401,(303) 578-6120,https://www.autonationsubaruwest.com/
