dealer_name,address,city,state,zip,phone,website
Darling's Volvo,114 Sylvan Road,Bangor,ME,04401,(207) 902-7472,https://www.darlingsvolvo.com/
Volvo Cars Cape Cod,270 North Street,Hyannis,MA,02601,(508) 978-6208,https://www.volvocarscapecod.com/
Goodwin's Volvo,91 Main St.,Topsham,ME,04086,(207) 820-8276,https://www.goodwinsvolvo.com/
Volvo Cars Plymouth,500 Colony Place,Plymouth,MA,02360,(508) 876-3484,https://www.volvocarsplymouth.com/
Portland Volvo Cars,9 US Route 1,Scarborough,ME,04074,(207) 886-5130,https://www.portlandvolvo.com/
Ira Volvo Cars South Shore,1030 Hingham Street,Rockland,MA,02370,(781) 546-5086,https://www.iravolvocarssouthshore.com
Viti Volvo Cars Tiverton,975 Fish Road,Tiverton,RI,02878,(401) 812-4037,https://www.vitivolvo.com/
Volvo Cars Danvers,24 Commonwealth Avenue,Danvers,MA,01923,(978) 648-2939,https://www.volvocarsdanvers.com/
Volvo Cars Exeter,140 Portsmouth Ave,Exeter,NH,03833,(603) 686-7632,https://www.volvocarsexeter.com/
Herb Chambers Volvo Cars Norwood,"1120 Providence Highway
 Route 1",Norwood,MA,02062,(781) 650-9930,https://www.volvocarsnorwood.com/ 
Boston Volvo Cars,61 North Beacon Street,Boston,MA,02134,(857) 382-6340,https://www.bostonvolvocars.com/
Steingold Volvo Cars,766 Broadway,Pawtucket,RI,02861,(401) 388-3586,https://www.steingoldvolvocars.com/
Jaffarian Volvo Cars,600 River Street,Haverhill,MA,01832,(978) 652-3438,https://www.jaffarianvolvocars.com/
Tasca Volvo Cars,1300 Pontiac Ave,Cranston,RI,02920,(401) 567-2955,https://www.tascavolvocars.com/
Bernardi Volvo Cars Natick,910 Worcester Street,Natick,MA,01760,(608) 390-6918,https://www.bernardivolvocars.com
Lovering Volvo Cars Nashua,180 Daniel Webster Highway,Nashua,NH,03060,(603) 718-3565,https://www.loveringnashua.com/
